variant	test	reason
btc	tests.test_msg_signtx_zcash.TestMsgSigntx::test_shieldedIn_one_one_fee_2	Full feature firmware required to run this test
btc	tests.test_msg_signtx_zcash.TestMsgSigntx::test_transparent_one_one	Full feature firmware required to run this test
btc	tests.test_msg_signtx_zcash.TestMsgSigntx::test_transparent_one_one_fee_too_high	Full feature firmware required to run this test
btc	tests.test_msg_solana_display_disclosure.TestSolanaDisplayDisclosure::test_memo_tail_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_display_disclosure.TestSolanaDisplayDisclosure::test_offchain_format_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_display_disclosure.TestSolanaDisplayDisclosure::test_offchain_message_tail_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_display_disclosure.TestSolanaDisplayDisclosure::test_raw_message_tail_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_getaddress.TestMsgSolanaGetAddress::test_solana_deterministic	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_getaddress.TestMsgSolanaGetAddress::test_solana_different_accounts	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_getaddress.TestMsgSolanaGetAddress::test_solana_get_address	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_getaddress.TestMsgSolanaGetAddress::test_solana_show_address	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_all_verified_instruction_fields_change_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_close_account_destination_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_invalid_priority_fee_is_rejected_before_confirmation	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_mint_and_burn_require_opaque_mode	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_priority_fee_payer_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_set_authority_roles_require_opaque_mode	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_token_2022_associated_account_is_opaque	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_token_2022_transfer_checked_with_hook_accounts_is_opaque	Full feature firmware required to run this test
btc	tests.test_msg_solana_instruction_disclosure.TestSolanaInstructionDisclosure::test_vote_validator_uses_account_not_trailing_data	Full feature firmware required to run this test
btc	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_attestation_does_not_replay_onto_another_transaction	Full feature firmware required to run this test
btc	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_attested_accounts_are_shown_and_blind_sign_still_follows	Full feature firmware required to run this test
btc	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_bad_signature_degrades_to_todays_flow	Full feature firmware required to run this test
btc	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_no_signer_loaded_means_no_extra_screens	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_duplicate_compute_budget_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_edited_schema_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_proof_without_schema_signature_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_review_shows_priority_fee	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_schema_signature_one_byte_changed_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_short_schema_signature_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_ignores_blind_sign_policy	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_priority_fee_names_fee_payer	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_reviews_every_screen	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_untrusted_definition_shows_base_units	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_v1_schema_reviews_static_transfer_companion	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_wrong_scope_certificate_refused	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaRuntime::test_runtime_schema_refuses_transfer_companion	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestSolanaSchemaRuntime::test_runtime_token_amount_trust_comes_from_the_schema_signer	Full feature firmware required to run this test
btc	tests.test_msg_solana_schema_v2.TestClearsignAttestorTokenAmount::test_token_amount_mint_account_is_attested_before_signing	Full feature firmware required to run this test
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_relay_certified_v0_no_lookup_proof_reaches_signer_check	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_get_address	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_path_3_elements	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_path_wrong_coin_type	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_compute_budget_unit_price	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_create_account_requires_advanced_mode	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_deterministic	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_empty_rejected	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_malformed_bad_account_count	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_malformed_trailing_bytes	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_malformed_truncated	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_memo	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_message	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_message_blocked_without_advanced_mode	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_multi_instruction_2x_transfer	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_multi_instruction_transfer_and_memo	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_oversized_raw_tx	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_plain_text_message_without_advanced_mode	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_set_authority_requires_advanced_mode	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_stake_authorize_clearsigns	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_stake_deactivate	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_stake_delegate	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_stake_withdraw	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_system_transfer	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_token_approve	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_token_transfer	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_token_transfer_checked	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_token_transfer_checked_attested_symbol	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_token_transfer_with_metadata	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_versioned_v0_opaque	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_versioned_v0_static_verified	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_solana_sign_x402_zero_lut_usdc_payment	SolanaGetAddress not supported by this firmware build
btc	tests.test_msg_thorchain_getaddress.TestMsgThorChainGetAddress::test_thorchain_get_address	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_ack_rejects_send_and_deposit_together	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_sign_btc_add_liquidity	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_sign_btc_eth_swap	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_sign_eth_add_liquidity	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_sign_eth_btc_swap	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_thorchain_remove_liquidity	Full feature firmware required to run this test
btc	tests.test_msg_thorchain_signtx.TestMsgThorChainSignTx::test_thorchain_sign_tx	Full feature firmware required to run this test
btc	tests.test_msg_ton_display_disclosure.TestTonDisplayDisclosure::test_raw_message_tail_changes_oled_review	TonSignMessage not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_address_format	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_deterministic	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_different_accounts	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_get_address	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_path_too_short	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_path_wrong_coin	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_getaddress.TestMsgTonGetAddress::test_ton_show_address	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_get_address	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_deterministic	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_different_accounts	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_empty_raw_tx	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_legacy_raw_tx	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_missing_fields_rejected	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_oversized_raw_tx	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_structured	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_with_empty_memo	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_with_long_memo	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_with_memo	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_workchain_default	TonGetAddress not supported by this firmware build
btc	tests.test_msg_ton_signtx.TestMsgTonSignTx::test_ton_sign_workchain_zero	TonGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_deterministic	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_different_accounts	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_get_address	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_path_too_short	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_path_wrong_coin	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_getaddress.TestMsgTronGetAddress::test_tron_show_address	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_get_address	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_deterministic	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_different_accounts	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_empty_raw_data	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_missing_fields_rejected	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_oversized_raw_data	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_transfer_legacy_raw_data	TronGetAddress not supported by this firmware build
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_transfer_structured	Structured TRON signing deferred to 7.15+; firmware only supports raw_data blind-sign
btc	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_trc20_transfer	Structured TRON TRC-20 signing deferred to 7.15+; firmware only supports raw_data blind-sign
btc	tests.test_msg_verifymessage.TestMsgVerifymessage::test_message_grs	Full feature firmware required to run this test
btc	tests.test_msg_zcash_display_address.TestMsgZcashDisplayAddress::test_zcash_display_address_bad_path_rejected	ZcashDisplayAddress not supported by this firmware build
btc	tests.test_msg_zcash_display_address.TestMsgZcashDisplayAddress::test_zcash_display_address_basic	ZcashDisplayAddress not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_explicit_account_cannot_alias_across_hardened_bit	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_abandon_mnemonic	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_consistency_across_calls	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_different_accounts	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_export_requires_consent_even_when_display_is_false	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_field_ranges	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_orchard.TestZcashOrchardFVK::test_fvk_reference_vectors	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_device_fingerprint_matches_python_helper	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_display_address_helper_accepts_matching_fingerprint	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_display_address_helper_backward_compat	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_display_address_helper_rejects_wrong_fingerprint	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_fingerprint_stable_across_accounts	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_get_orchard_fvk_returns_seed_fingerprint	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_seed_fingerprint.TestMsgZcashSeedFingerprint::test_sign_pczt_helper_rejects_wrong_fingerprint	ZcashGetOrchardFVK not supported by this firmware build
btc	tests.test_msg_zcash_sign_pczt_device.TestZcashShieldedSigningDevice::test_ironwood_note_is_accepted	Full feature firmware required to run this test
btc	tests.test_msg_zcash_sign_pczt_device.TestZcashShieldedSigningDevice::test_ironwood_rejects_a_non_empty_orchard_bundle	Full feature firmware required to run this test
btc	tests.test_msg_zcash_sign_pczt_device.TestZcashShieldedSigningDevice::test_note_commitment_binds_the_recipient	Full feature firmware required to run this test
btc	tests.test_msg_zcash_sign_pczt_device.TestZcashShieldedSigningDevice::test_pool_selection_is_honoured	Full feature firmware required to run this test
btc	tests.test_msg_zcash_sign_pczt_device.TestZcashShieldedSigningDevice::test_shielded_output_review_is_two_screens	Full feature firmware required to run this test
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_hybrid_multi_input_signatures_verify	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_hybrid_signature_verifies	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_orchard_before_transparent_rejected	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_bad_change	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_hardened_index	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_out_of_order_transparent_index	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_short_path	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_too_many_transparent_inputs	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_unhardened_account	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_wrong_account	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_wrong_coin_type	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_rejects_wrong_purpose	Zcash is not in the bitcoin-only firmware
btc	tests.test_msg_zcash_transparent_shielding.TestZcashTransparentShielding::test_wrong_key_does_not_verify	Zcash is not in the bitcoin-only firmware
btc	tests.test_protect_call.TestProtectCall::test_exponential_backoff_with_reboot	Due to a known defect in the emulator, pin timeouts don't work.
btc	tests.test_sign_typed_data.TestMsgEthereumSignTypedDataHash::test_ethereum_sign_typed_data_hash	Full feature firmware required to run this test
btc	tests.test_sign_typed_data.TestMsgEthereumSignTypedDataHash::test_ethereum_sign_x402_eip3009	Full feature firmware required to run this test
btc	tests.test_storage_version_gate.TestStorageVersionGateSource::test_burned_versions_are_dispatched_to_the_wipe_path	no version is declared BURNED in storage_versions.inc on this line -- STORAGE_VERSION is 17 and the whole ladder has readers. Nothing to measure here; the upgrade path is carried by test_every_shipped_version_has_a_reader.
btc	tests.test_verify_typed_data.TestMsgE712Verify::test_structured_eip712_is_refused	Full feature firmware required to run this test
btc	tests.test_verify_typed_data.TestMsgE712Verify::test_verify	structured EIP-712 is disabled in 7.14.2; see test_structured_eip712_is_refused. Re-enable together with a canonical display implementation.
