variant	test	reason
full	tests.test_msg_osmosis_validation.TestOsmosisValidation::test_present_but_empty_amount_is_rejected_as_invalid	Staged release tree does not yet provide capability: osmosis-wire-guards
full	tests.test_msg_osmosis_validation.TestOsmosisValidation::test_present_but_empty_amount_is_rejected_before_review	7.15+ uses the syntax-specific empty amount gate
full	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_unsupported_memo_is_rejected	Ripple memos are implemented in 7.15
full	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_advanced_mode_is_off_after_power_cycle	power cycle needs an emulator process this harness owns; none is bound to udp/11044 (CI runs it as a separate container). Run locally, or record the unplug/replug as manual evidence.
full	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_signer_dropped_by_power_cycle	power cycle needs an emulator process this harness owns; none is bound to udp/11044 (CI runs it as a separate container). Run locally, or record the unplug/replug as manual evidence.
full	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_attestation_does_not_replay_onto_another_transaction	Staged release tree does not yet provide capability: solana-lut-attestation
full	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_attested_accounts_are_shown_and_blind_sign_still_follows	Staged release tree does not yet provide capability: solana-lut-attestation
full	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_bad_signature_degrades_to_todays_flow	Staged release tree does not yet provide capability: solana-lut-attestation
full	tests.test_msg_solana_lut_attestation.TestSolanaLutAttestation::test_no_signer_loaded_means_no_extra_screens	Staged release tree does not yet provide capability: solana-lut-attestation
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_duplicate_compute_budget_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_edited_schema_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_proof_without_schema_signature_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_review_shows_priority_fee	Firmware version 7.16.0 or higher is required to run this test
